Gene type	Gene Name	fr	rf	star
snoRNA	LOC124900174	0	0	0
snoRNA	LOC124900175	0	0	0
snoRNA	LOC124900176	0	0	0
snoRNA	LOC124900179	0	0	0
snoRNA	LOC124900180	0	0	0
snoRNA	LOC124900181	0	0	0
snoRNA	LOC124900184	0	0	0
snoRNA	LOC124900185	0	0	0
snoRNA	LOC124900186	0	0	0
snoRNA	LOC124900187	0	0	0
snoRNA	LOC124900188	0	0	0
snoRNA	LOC124900196	0	0	0
snoRNA	LOC124900197	1	1	0
snoRNA	LOC124900198	0	0	0
snoRNA	LOC124900199	0	0	0
snoRNA	LOC124900200	0	0	0
snoRNA	LOC124900201	0	0	0
snoRNA	LOC124900202	0	0	0
snoRNA	LOC124900203	0	0	0
snoRNA	LOC124900204	0	0	0
snoRNA	LOC124900205	0	0	0
snoRNA	LOC124900207	0	0	0
snoRNA	LOC124900208	0	0	0
snoRNA	LOC124900209	0	0	0
snoRNA	LOC124900212	0	0	0
snoRNA	LOC124900219	0	0	0
snoRNA	LOC124900220	0	0	0
snoRNA	LOC124900221	0	0	0
snoRNA	LOC124900222	0	0	0
snoRNA	LOC124900223	0	0	0
snoRNA	LOC124900224	0	0	0
snoRNA	LOC124900225	0	0	0
snoRNA	LOC124900226	0	0	0
snoRNA	LOC124900227	1	1	0
snoRNA	LOC124900228	0	0	0
snoRNA	LOC124900229	0	0	0
snoRNA	LOC124900230	0	0	0
snoRNA	LOC124900235	0	0	1
snoRNA	LOC124900236	0	0	0
snoRNA	LOC124900237	0	0	0
snoRNA	LOC124900238	0	0	0
snoRNA	LOC124900239	0	0	0
snoRNA	LOC124900240	0	0	0
snoRNA	LOC124900241	0	0	0
snoRNA	LOC124900243	0	0	1
snoRNA	LOC124900244	0	0	0
snoRNA	LOC124900245	0	0	0
snoRNA	LOC124900246	0	0	0
snoRNA	LOC124900247	0	0	0
snoRNA	LOC124900256	0	0	0
snoRNA	LOC124900257	0	0	0
snoRNA	LOC124900259	0	0	0
snoRNA	LOC124900260	0	0	0
snoRNA	LOC124900264	0	0	0
snoRNA	LOC124900266	0	0	0
snoRNA	LOC124900267	0	0	0
snoRNA	LOC124900268	0	0	0
